"Symbol","Change %","Last","RPR","TPR","V50d (K)","v/50","% Off 52-wk High","Volume (K)","VRR","Change $","RPR Change"
"DAC","1.19%","$117.95","88","B","80","0.50%","-0.42%","80","","$1.39","2"
"EGBN","-3.34%","$25.45","88","C","386","21.59%","-13.02%","470","","$-0.88","-1"
"EIX","0.50%","$74.74","88","B","3,293","49.23%","-1.01%","4,914","","$0.37","0"
"EL","-2.17%","$109.47","88","B","3,934","49.58%","-10.00%","5,885","","$-2.43","-1"
"EMBJ","-1.45%","$72.22","88","C","857","-31.12%","-10.56%","591","","$-1.06","-2"
"ENSG","0.71%","$214.17","88","B","407","13.28%","-1.27%","461","","$1.52","1"
"ERIC","2.75%","$11.60","88","B","9,024","-11.09%","-0.34%","8,023","","$0.31","2"
"GE","0.42%","$342.26","88","B","5,388","30.93%","-1.78%","7,055","","$1.42","0"
"GFS","1.34%","$47.55","88","B","4,714","-39.81%","-6.73%","2,837","","$0.63","1"
"HAS","-0.77%","$99.59","88","B","1,903","10.65%","-6.91%","2,106","","$-0.77","0"
"HE","-0.06%","$15.49","88","C","3,958","2.71%","-10.87%","4,065","","$-0.01","-1"
"HG","-0.57%","$31.59","88","B","563","13.11%","-1.92%","637","","$-0.18","-1"
"HSY","2.06%","$236.28","88","B","2,007","14.07%","-0.21%","2,290","","$4.78","1"
"IVZ","-3.06%","$26.26","88","C","5,711","-7.46%","-11.31%","5,285","","$-0.83","-2"
"MCK","1.33%","$987.37","88","B","696","52.19%","0.00%","1,060","","$12.92","1"
"MEC","-2.05%","$21.00","88","B","162","-45.06%","-6.12%","89","","$-0.44","-1"
"MNST","-1.57%","$85.30","88","B","6,086","122.34%","-2.38%","13,531","","$-1.36","-1"
"NGG","0.05%","$93.77","88","B","907","6.17%","-0.92%","963","","$0.05","0"
"NTR","2.65%","$75.07","88","B","2,780","22.98%","-0.87%","3,419","","$1.94","2"
"PBR","0.12%","$16.63","88","B","22,923","-13.06%","-1.71%","19,928","","$0.02","1"
"R","-0.70%","$221.56","88","B","372","45.33%","-3.83%","541","","$-1.57","0"
"ROST","1.05%","$205.64","88","B","2,346","91.52%","-0.37%","4,493","","$2.14","1"
"RTX","2.52%","$202.62","88","C","5,913","51.87%","-1.99%","8,981","","$4.99","1"
"RUSHA","-0.95%","$70.97","88","B","509","29.41%","-6.61%","659","","$-0.68","0"
"SFST","-7.87%","$55.84","88","C","54","143.64%","-9.94%","131","","$-4.77","-3"
"TARS","-0.46%","$75.52","88","B","674","-33.84%","-11.41%","446","","$-0.35","-1"
"TILE","-0.47%","$31.49","88","C","373","19.49%","-10.31%","446","","$-0.15","1"
"VTOL","-0.62%","$47.70","88","B","196","117.30%","-3.73%","427","","$-0.30","-1"
"WAB","0.21%","$263.95","88","B","832","66.08%","-0.87%","1,382","","$0.54","0"
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
" -> ","","","","","","","","","","",""
"","","","","","","","","","","",""
